@params:Chorus Amount|Chorus On|Chorus Rate|Cut On|Decay Time|Density|Diffuse Level|Diffusion|Dry/Wet|ER Shape|ER Spin Amount|ER Spin On|ER Spin Rate|Flat On|Freeze On|HiFilter Freq|HiFilter On|HiFilter Type|HiShelf Gain|In Filter Freq|In Filter Width|In HighCut On|In LowCut On|LowShelf Freq|LowShelf Gain|LowShelf On|Predelay|Reflect Level|Room Size|Scale|Size Smoothing|Stereo Image
Concrete Chamber:0.18546363711357117|0.0|0.4690614938735962|0.0|0.428571492433548|2.0|0.841269850730896|0.8809523582458496|1.0|0.3174603283405304|0.6544755101203918|0.0|0.48569256067276|1.0|0.0|0.6068376302719116|1.0|0.0|0.44117650389671326|0.5365853309631348|0.38235294818878174|1.0|0.0|0.34188032150268555|0.4705882668495178|0.0|0.0158730149269104|1.0|0.1428571343421936|1.0|2.0|0.2063492089509964
Corridor:0.002506265649572015|0.0|0.10369296371936798|1.0|0.2636983096599579|3.0|0.4920635521411896|0.2063491940498352|1.0|0.7460317611694336|0.7083333134651184|1.0|0.2575758099555969|1.0|0.0|0.7653061151504517|1.0|0.0|0.3541666865348816|0.7578124403953552|0.4166666567325592|1.0|0.0|0.2271994799375534|0.6875|0.0|0.482046902179718|0.7034740447998047|0.28475576639175415|0.5789473652839661|2.0|0.8333333134651184
Dark Hall:0.15164367854595184|0.0|0.3333333432674408|0.0|0.5238096117973328|2.0|0.3449578881263733|0.7222222089767456|1.0|1.0|0.8125|0.0|0.7272727489471436|0.0|0.0|0.5816327333450317|1.0|0.0|0.1874999850988388|0.13636362552642822|0.7083333730697632|1.0|0.0|0.346938818693161|0.625|1.0|0.6904761791229248|0.3449578881263733|0.8492063283920288|0.4920635223388672|2.0|0.7539682388305664
Dark Medium Room:0.15164367854595184|0.0|0.3333333432674408|0.0|0.3730158507823944|1.0|0.3449578881263733|0.8046875|1.0|1.0|0.8125|0.0|0.7272727489471436|0.0|0.0|0.6122449040412903|1.0|0.0|0.2708333134651184|0.19531254470348358|0.78125|1.0|0.0|0.346938818693161|0.625|1.0|0.4461406171321869|0.3449578881263733|0.6190476417541504|0.317460298538208|2.0|0.7936508655548096
Dark Small Room:0.15164367854595184|0.0|0.3333333432674408|0.0|0.24603183567523956|2.0|0.3449578881263733|0.7222222089767456|1.0|1.0|0.8125|0.0|0.7272727489471436|0.0|0.0|0.5816327333450317|1.0|0.0|0.1874999850988388|0.13636362552642822|0.7083333730697632|1.0|0.0|0.346938818693161|0.625|1.0|0.5158730149269104|0.3449578881263733|0.0476190522313118|0.4920635223388672|2.0|0.7539682388305664
Drums Room:0.002506265649572015|0.0|0.10369296371936798|1.0|0.3174603581428528|3.0|0.4920635521411896|1.0|1.0|0.2539682686328888|0.7291666865348816|1.0|0.1363636702299118|1.0|0.0|0.8124999403953552|1.0|0.0|0.7578125|0.7578124403953552|0.4166666567325592|0.0|0.0|0.2271994799375534|0.6875|0.0|0.4461403787136078|0.7034740447998047|0.28475576639175415|1.0|2.0|0.8333333134651184
Empty Club:1.0|0.0|0.9545454382896423|0.0|0.31413534283638|3.0|0.3449578881263733|0.4126984179019928|1.0|1.0|0.8125|0.0|0.5606061220169067|0.0|0.0|0.8877550959587097|1.0|0.0|0.0|0.9242423176765442|0.0|1.0|0.0|0.29591837525367737|0.0|1.0|0.5113844871520996|1.0|0.4444444179534912|0.579365074634552|2.0|1.0
Forest Floor:0.49426695704460144|0.0|0.4690614938735962|1.0|0.41732287406921387|2.0|0.7795275449752808|0.6246089935302734|1.0|0.5|0.3191488981246948|1.0|0.3086419999599457|1.0|0.0|0.8102340698242188|1.0|0.0|0.3374999761581421|0.47729402780532837|0.6294117569923401|0.0|0.0|0.2271994799375534|0.6875|0.0|0.25897663831710815|0.49356332421302795|0.5039370059967041|0.7322834730148315|2.0|0.5433071255683899
Foyer:0.22166095674037933|0.0|0.4848484694957733|0.0|0.3752012848854065|3.0|0.7034740447998047|0.10323253273963928|1.0|1.0|0.5833333134651184|1.0|0.40909090638160706|0.0|0.0|0.8046875|1.0|0.0|0.625|0.8030303120613098|0.4791666567325592|1.0|0.0|0.234375|0.6875|1.0|0.6588259935379028|0.7034740447998047|0.635553777217865|0.7894737124443054|2.0|0.8333333134651184
Frozen Build Up:0.025737572461366653|1.0|0.7283950448036194|0.0|0.658730149269104|1.0|0.19841268658638|0.0|1.0|0.817460298538208|1.0|0.0|1.0|0.0|1.0|0.7130434513092041|1.0|0.0|0.6595745086669922|0.654321014881134|0.5744680762290955|1.0|1.0|0.40869566798210144|0.6595745086669922|1.0|0.6587302088737488|0.0|1.0|1.0|2.0|0.6746031641960144
Garage:0.15164367854595184|0.0|0.45454543828964233|1.0|0.19841265678405762|3.0|0.7034740447998047|0.7265625|1.0|0.6984127163887024|0.5833333134651184|1.0|0.40909090638160706|1.0|0.0|0.8571429252624512|1.0|0.0|0.625|0.7272727489471436|0.4166666567325592|0.0|0.0|0.020408183336257935|0.9791666865348816|0.0|0.6588259935379028|0.49356332421302795|0.1666666716337204|1.0|2.0|0.8333333134651184
Guitar Room:0.0476190485060215|1.0|0.40909087657928467|1.0|0.31413534283638|3.0|0.49356332421302795|0.6246089935302734|1.0|1.0|0.8125|1.0|0.22727276384830475|1.0|0.0|0.8265306353569031|1.0|0.0|0.6666666865348816|0.7575756907463074|0.4583333432674408|1.0|0.0|0.214285746216774|0.4375000298023224|1.0|0.6588259935379028|0.49356332421302795|0.5830302238464355|1.0|2.0|0.8333333134651184
Gymnasium:0.002506265649572015|0.0|0.10369296371936798|1.0|0.3852224349975586|3.0|0.6253118515014648|0.7288842797279358|1.0|0.0|0.6875|1.0|0.16666670143604279|1.0|0.0|0.7857142686843872|1.0|0.0|0.625|0.7578124403953552|0.4166666567325592|1.0|0.0|0.2271994799375534|0.6875|0.0|0.6357994079589844|0.38891172409057617|0.635553777217865|1.0|2.0|0.8333333134651184
Hall Damped:0.015960058197379112|1.0|0.7727272510528564|0.0|0.4488189220428467|0.0|0.9542872309684753|0.6269841194152832|0.20472441613674164|0.6349206566810608|0.2916666567325592|1.0|0.5151515007019043|0.0|0.0|0.7653061151504517|1.0|0.0|0.1250000149011612|0.28346458077430725|0.75|1.0|1.0|0.3265306353569031|0.0|1.0|0.6428571939468384|0.8730158805847168|0.9291338324546814|0.9370078444480896|2.0|1.0
Hall Shine:0.002506265649572015|1.0|0.10369296371936798|1.0|0.4126984477043152|0.0|0.49356332421302795|0.6246089935302734|0.2698412835597992|0.5|0.6544755101203918|1.0|0.48569256067276|1.0|0.0|0.8102341890335083|1.0|0.0|0.625|0.47729402780532837|0.6294117569923401|1.0|0.0|0.227199524641037|1.0|1.0|0.60317462682724|0.49356332421302795|0.6666666865348816|0.3684210479259491|2.0|0.8333333134651184
Halluzinatione:0.05091799795627594|1.0|0.395061731338501|1.0|0.3809524178504944|1.0|0.6666666865348816|0.4761904776096344|1.0|0.2936508059501648|0.8823529481887817|0.0|0.6463415026664734|1.0|0.0|0.895652174949646|1.0|0.0|0.5531915426254272|0.5555556416511536|0.6382979154586792|1.0|0.0|0.2956521511077881|0.7659574747085571|1.0|0.60317462682724|1.0|0.6904761791229248|0.4047619104385376|2.0|0.9126984477043152
High Verb:0.18546363711357117|1.0|0.4690614938735962|1.0|0.3700787425041199|1.0|0.7007874250411987|0.6246089935302734|1.0|0.5|0.6544755101203918|1.0|0.48569256067276|1.0|0.0|0.8102340698242188|1.0|0.0|0.3374999761581421|0.8641976714134216|0.6382979154586792|0.0|1.0|0.2271994799375534|0.6875|0.0|0.6850393414497375|0.748031497001648|0.7915151119232178|0.3684210479259491|2.0|0.8333333134651184
In A Box:0.7785240411758423|1.0|0.3636363446712494|1.0|0.2222222536802292|0.0|0.7063491940498352|0.6246089935302734|0.5|0.1111111119389534|0.6544755101203918|1.0|0.48569256067276|1.0|0.0|0.8102341890335083|1.0|0.0|0.625|0.560606062412262|0.6041666269302368|1.0|1.0|0.227199524641037|1.0|1.0|0.4523809850215912|0.49356332421302795|0.261904776096344|0.8174603581428528|2.0|0.9126984477043152
Large Chamber:0.002506265649572015|0.0|0.10369296371936798|0.0|0.2821703851222992|3.0|0.49356332421302795|0.9374348521232605|1.0|0.9523809552192688|0.7291666865348816|0.0|0.1363636702299118|0.0|0.0|0.704081654548645|1.0|0.0|0.3124999701976776|0.7575756907463074|0.5416666269302368|1.0|0.0|0.2271994799375534|0.6875|0.0|0.482046902179718|0.8895738124847412|0.5168583989143372|0.0|2.0|0.8333333134651184
Large Factory:0.014906593598425388|1.0|0.18292683362960815|0.0|0.571428656578064|2.0|0.5476190447807312|0.2857142686843872|1.0|1.0|0.20588237047195435|0.0|0.18292689323425293|1.0|0.0|0.6666666865348816|1.0|0.0|0.4705882668495178|0.43902432918548584|0.529411792755127|1.0|0.0|0.34188032150268555|0.4705882668495178|0.0|0.7460317611694336|1.0|0.523809552192688|1.0|2.0|0.944444477558136
Large Hall:0.22166095674037933|1.0|0.4848484694957733|0.0|0.46268558502197266|3.0|0.49356332421302795|0.3117831349372864|1.0|1.0|0.5833333134651184|0.0|0.40909090638160706|0.0|0.0|0.8046875|1.0|0.0|0.625|0.7116478085517883|0.4166666567325592|1.0|0.0|0.2271994799375534|0.6875|0.0|0.7832408547401428|0.49356332421302795|0.7626093626022339|0.3684210479259491|2.0|0.8333333134651184
Large Space Chorus:0.3590562045574188|1.0|0.7777777910232544|0.0|0.7222222685813904|2.0|0.5317460298538208|0.5714285373687744|1.0|0.4920634925365448|0.20588237047195435|0.0|0.18292689323425293|1.0|0.0|0.678260862827301|1.0|0.0|0.6595745086669922|0.6172839999198914|0.7021276950836182|0.0|0.0|0.34188032150268555|0.4705882668495178|0.0|0.7460317611694336|1.0|0.7857142686843872|0.4761904776096344|2.0|1.0
Large Stage:0.002506265649572015|0.0|0.10369296371936798|0.0|0.412248432636261|3.0|0.5556497573852539|0.2596454620361328|1.0|1.0|0.5833333134651184|0.0|0.40909090638160706|0.0|0.0|0.75|1.0|0.0|0.5781250596046448|0.6818181276321411|0.4791666567325592|1.0|0.0|0.11718752235174179|0.796875|1.0|0.6588259935379028|0.7034740447998047|0.7253432273864746|0.6842105388641357|2.0|0.8333333134651184
Late Wrapper:0.002506265649572015|1.0|0.10369296371936798|1.0|0.4045688211917877|0.0|1.0|0.9895724654197693|0.3499999940395355|0.4047619104385376|0.6544755101203918|1.0|0.48569256067276|1.0|0.0|0.7653061151504517|1.0|0.0|0.4791666567325592|0.5454955101013184|0.7083333730697632|1.0|1.0|0.227199524641037|1.0|1.0|0.8176548480987549|1.0|0.7857133150100708|0.1349206417798996|2.0|0.9444167017936707
Living Room:0.014906593598425388|1.0|0.09756093472242355|1.0|0.357142835855484|2.0|0.4682539701461792|0.7619047164916992|1.0|0.460317462682724|0.44117647409439087|0.0|0.6097561120986938|1.0|0.0|0.5811966061592102|1.0|0.0|0.6470588445663452|0.5731707215309143|0.5882353186607361|1.0|0.0|0.34188032150268555|0.4705882668495178|0.0|0.5317460298538208|0.976190447807312|0.7460318207740784|0.8015872836112976|2.0|1.0
Long Ambience:0.025737572461366653|0.0|0.7283950448036194|0.0|0.70634925365448|1.0|0.3095238208770752|0.5952380895614624|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5565217733383179|1.0|0.0|0.5531915426254272|0.444444477558136|0.2978723645210266|1.0|1.0|0.38260868191719055|0.38297876715660095|1.0|0.0|1.0|0.6666666865348816|0.0158730186522007|2.0|0.4761904776096344
Long Tail:0.006098624784499407|1.0|0.08536585420370102|1.0|0.6269841194152832|1.0|0.5714285969734192|0.3333333134651184|1.0|0.5555555820465088|0.5|1.0|0.3170732259750366|1.0|0.0|0.6923077702522278|1.0|0.0|0.6764705181121826|0.5365853309631348|0.44117647409439087|1.0|1.0|0.2905983328819275|0.9117647409439087|0.0|0.0|1.0|0.8571428656578064|0.3253968358039856|2.0|0.817460298538208
Main Hall:0.22166095674037933|0.0|0.4848484694957733|0.0|0.44969266653060913|3.0|0.5556497573852539|0.3117831349372864|1.0|1.0|0.5833333134651184|0.0|0.40909090638160706|0.0|0.0|0.7857142686843872|1.0|0.0|0.5625|0.6818181276321411|0.4166666567325592|1.0|0.0|0.2271994799375534|0.6875|0.0|0.7563599944114685|0.49356332421302795|0.7253432273864746|0.8947368264198303|2.0|0.8333333134651184
