@params:Channel Mode|Clip Dry|Dly < Mod|Dry Wet|Duck On|Duck Release|Duck Thr|Env Mix|Feedback|Feedback Inv|Filter On|Flt < Mod|Gate On|Gate Release|Gate Thr|HP Freq|HP Res|Input Gain|L 16th|L Division|L Offset|L Sync|L Sync Mode|L Time|LP Freq|LP Res|Link|Mod 4x|Mod Freq|Mod Phase|Mod Rate|Mod Sync|Mod Wave|Noise Amt|Noise Mrph|Noise On|Output Gain|R 16th|R Division|R Offset|R Sync|R Sync Mode|R Time|Repitch|Repitch Smoothing Time|Reverb Decay|Reverb Level|Reverb Loc|Stereo Width|Wobble Amt|Wobble Mrph|Wobble On
Mid Filter Delay:1.0|0.0|0.0|0.6428571343421936|1.0|0.37277066707611084|0.8046875|0.0|0.3095238208770752|0.0|1.0|0.4296875|0.0|0.602835476398468|1.0|0.3254850506782532|0.7872340679168701|0.5|3.0|-2.0|0.5|1.0|0.0|0.5653063654899597|0.7843148708343506|0.8085106611251831|0.0|0.0|0.6388094425201416|0.703125|12.0|1.0|0.0|0.0|0.0|0.0|0.5|3.0|-2.0|0.5|1.0|0.0|0.5653063654899597|1.0|0.7559748291969299|0.0|0.0|1.0|0.523809552192688|0.1328125|0.484375|0.0
Nostalgia:1.0|0.0|0.28125|0.4285714328289032|0.0|0.372768372297287|1.0|0.15625|0.3492063581943512|0.0|1.0|0.2578125|1.0|0.9999935626983643|0.6015625|0.18039070069789886|0.1702127605676651|0.5|3.0|-3.0|0.4921875|1.0|2.0|0.5653063654899597|0.6627470850944519|0.8723404407501221|0.0|0.0|0.23622319102287292|0.359375|6.0|1.0|0.0|0.4765625|1.0|1.0|0.5|3.0|-2.0|0.5078125|1.0|2.0|0.5653063654899597|1.0|0.7559748291969299|0.4921875|0.4920634925365448|0.0|0.6190476417541504|0.28125|0.703125|1.0
Ping Pong Wide:1.0|0.0|0.0|0.3968254029750824|1.0|0.16406118869781494|0.6328125|0.4921875|0.2936508059501648|0.0|1.0|0.5859375|1.0|0.5468770265579224|0.65625|0.0823521763086319|0.021276595070958138|0.5873016119003296|8.0|-3.0|0.4609375|1.0|0.0|0.2380952686071396|1.0|0.12765957415103912|1.0|1.0|0.6388094425201416|0.0|11.0|1.0|3.0|0.921875|0.4296875|0.0|0.5|3.0|-3.0|0.5078125|1.0|2.0|0.5653063654899597|1.0|0.7559748291969299|0.0|0.1269841343164444|0.0|0.75|0.140625|0.0625|1.0
Scratchtastic:0.0|1.0|1.0|0.5|0.0|0.37277066707611084|0.3203125|0.0|0.0|0.0|1.0|0.0|1.0|0.5234347581863403|0.71875|0.2705897092819214|0.0|0.6507936716079712|3.0|-3.0|0.1171875149011612|1.0|0.0|0.5653063654899597|0.7882363796234131|0.4893617033958435|0.0|0.0|0.6388094425201416|0.0|12.0|1.0|3.0|0.9921875|0.0|1.0|0.5|3.0|-4.0|0.8750000596046448|1.0|2.0|0.5653063654899597|1.0|0.7559748291969299|0.203125|0.1031746044754982|1.0|0.5|0.0|0.0|0.0
Semi Sync:1.0|1.0|0.0703125|0.6904761791229248|0.0|0.37277066707611084|1.0|0.0|0.1640625|0.0|1.0|0.0|0.0|0.602835476398468|1.0|0.3490317463874817|0.5106382966041565|0.579365074634552|3.0|-3.0|0.5|0.0|2.0|0.2539682686328888|0.7764668464660645|0.7872340679168701|0.0|0.0|0.5624966621398926|0.71875|12.0|0.0|1.0|0.203125|0.28125|1.0|0.4285714328289032|3.0|-4.0|0.5|1.0|0.0|0.3968254029750824|1.0|0.7559748291969299|0.2265625|0.230158731341362|1.0|0.6746031641960144|0.3984375|0.265625|1.0
Set back in Space:0.0|0.0|0.0703125|0.8015872836112976|1.0|0.30468764901161194|0.71875|0.0|0.0|0.0|1.0|0.0|0.0|0.602835476398468|1.0|0.23921753466129303|0.0|0.5714285969734192|3.0|-4.0|0.5|0.0|0.0|0.2063492089509964|0.7568690180778503|0.40425533056259155|0.0|0.0|0.6388094425201416|0.0|4.0|1.0|0.0|0.2109375|1.0|1.0|0.5610074400901794|3.0|-3.0|0.5|0.0|2.0|0.2222222238779068|1.0|0.7559748291969299|0.375|0.1428571492433548|1.0|0.5|0.0|0.0|0.0
Shimmery:0.0|0.0|0.234375|0.4841269850730896|0.0|0.37277066707611084|1.0|0.0|0.5079365372657776|1.0|1.0|0.0|0.0|0.602835476398468|1.0|0.17646844685077667|0.4761904776096344|0.5|1.0|-3.0|0.8593750596046448|0.0|0.0|0.1984127163887024|0.8190016150474548|0.5873016119003296|1.0|0.0|0.7031302452087402|0.734375|9.0|0.0|0.0|0.0|0.0|0.0|0.5|4.0|-5.0|0.1953124850988388|0.0|3.0|0.1984127163887024|1.0|0.7559748291969299|0.6953125|0.7063491940498352|0.0|0.6269841194152832|0.0|0.0|0.0
Simple Long Digi Delay:0.0|0.0|0.1171875|0.6666666865348816|1.0|0.37277066707611084|0.8046875|0.0|0.230158731341362|0.0|1.0|0.0|0.0|0.602835476398468|1.0|0.2784326672554016|0.40425533056259155|0.5|3.0|0.0|0.5|1.0|0.0|0.5653063654899597|0.8784276247024536|0.8085106611251831|0.0|0.0|0.6388094425201416|0.5|11.0|1.0|0.0|0.0|0.0|0.0|0.5|3.0|-1.0|0.5|1.0|0.0|0.5653063654899597|1.0|0.7559748291969299|0.0|0.0|1.0|0.5317460298538208|0.140625|0.484375|1.0
Slap Filter Mod:0.0|0.0|0.1875|0.4682539701461792|1.0|0.16406118869781494|0.6328125|0.0859375|0.0714285746216774|1.0|1.0|0.9765625|1.0|0.5468770265579224|0.65625|0.0823521763086319|0.021276595070958138|0.6507936716079712|8.0|-4.0|0.4609375|1.0|0.0|0.5653063654899597|1.0|0.0|1.0|1.0|0.6388094425201416|0.1015625|8.0|1.0|3.0|0.921875|0.4296875|0.0|0.5555555820465088|3.0|-3.0|0.5546875|1.0|2.0|0.5653063654899597|1.0|0.7559748291969299|0.0|0.0|0.0|0.5|0.2109375|0.0546875|1.0
Slapback:0.0|0.0|0.0|0.5078125|0.0|0.05468836426734924|1.0|0.0|0.1825396865606308|0.0|1.0|0.0|0.0|0.602835476398468|1.0|0.1402745544910431|0.1746031790971756|0.5|1.0|-4.0|0.5|1.0|0.0|0.4453125|1.0|0.2539682686328888|1.0|0.0|0.7031354904174805|0.5|9.0|1.0|0.0|0.0|0.0|0.0|0.5625|4.0|-5.0|0.328125|0.0|3.0|0.1984127163887024|0.0|0.7559748291969299|0.296875|0.0|0.0|0.579365074634552|0.0|0.0|0.0
Smacked:0.0|0.0|0.0|0.5078125|1.0|0.05468836426734924|0.9453125|0.2734375|0.4523809850215912|1.0|1.0|0.4765625|1.0|0.7812487483024597|0.921875|0.3438970446586609|0.3968254029750824|0.658730149269104|1.0|-3.0|0.5|1.0|0.0|0.4453125|0.8325778245925903|0.7460317611694336|1.0|0.0|0.703133761882782|0.734375|9.0|1.0|0.0|1.0|0.296875|1.0|0.5|4.0|-5.0|0.5625|0.0|3.0|0.1984127163887024|1.0|0.7559748291969299|0.296875|0.0|0.0|0.5|0.234375|0.1875|1.0
Tape Reverb Space:0.0|1.0|0.0859375|0.5|1.0|0.06250369548797607|0.9375|1.0|0.261904776096344|1.0|1.0|0.5546875|1.0|0.05468200519680977|0.5234375|0.2784295082092285|0.25531914830207825|0.6111111044883728|8.0|-4.0|0.5|1.0|0.0|0.0|0.7803903222084045|0.2978723347187042|0.0|0.0|0.6388094425201416|0.2265625|17.0|1.0|2.0|0.05000000074505806|0.984375|1.0|0.4920634925365448|3.0|-6.0|0.5454545617103577|1.0|3.0|0.5653063654899597|1.0|0.7559748291969299|0.5234375|0.1031746044754982|0.0|0.5|0.125|0.2734375|1.0
The Unpredictable Spring:1.0|1.0|0.5234375|0.699999988079071|1.0|0.372768372297287|1.0|0.1796875|0.4920634925365448|0.0|1.0|0.890625|0.0|0.6028345823287964|1.0|0.2980411648750305|0.1489361673593521|0.6190476417541504|3.0|-6.0|0.359375|0.0|2.0|0.6269841194152832|0.7993155121803284|0.8203125|0.0|0.0|0.6388094425201416|0.5|15.0|1.0|0.0|0.375|1.0|1.0|0.4126984179019928|3.0|-1.0|0.734375|1.0|2.0|0.40579333901405334|1.0|0.7559748291969299|0.5|0.1984127014875412|2.0|0.5|0.3359375|0.0|1.0
Time Travel Echo:1.0|0.0|0.21875|0.5873016119003296|1.0|0.37277066707611084|1.0|0.0|0.3333333432674408|0.0|1.0|0.0|0.0|0.602835476398468|1.0|0.13264580070972443|0.0|0.5396825671195984|3.0|-4.0|0.5|1.0|2.0|0.40579333901405334|0.7993140816688538|0.0|1.0|0.0|0.6388094425201416|0.5|12.0|1.0|2.0|0.0|0.0|0.0|0.5|3.0|-3.0|0.5|1.0|2.0|0.40579333901405334|1.0|0.7559748291969299|0.5|0.2460317462682724|1.0|0.5|0.0|0.0|0.0
Tweezy Tape:1.0|0.0|0.0|0.5|1.0|0.37277066707611084|0.4609375|0.0|0.5|0.0|1.0|0.09375|0.0|0.602835476398468|1.0|0.32940974831581116|0.3617021143436432|0.5317460298538208|3.0|-3.0|0.5|1.0|0.0|0.4126984179019928|0.933332085609436|0.6170212626457214|1.0|0.0|0.3984392583370209|0.0|2.0|1.0|0.0|0.5625|0.7421875|1.0|0.5|3.0|-4.0|0.5|1.0|2.0|0.40579333901405334|1.0|0.7559748291969299|0.5|0.2460317462682724|2.0|0.5|0.34375|0.40625|1.0
TwoAnalogues:0.0|0.0|0.0|0.5078125|0.0|0.05468836426734924|1.0|0.0|0.5476190447807312|0.0|1.0|0.0|0.0|0.602835476398468|1.0|0.1357482373714447|0.2063492089509964|0.5079365372657776|1.0|-4.0|0.5|1.0|0.0|0.4453125|0.7330319285392761|0.3174603283405304|0.0|0.0|0.7031354904174805|0.5|9.0|1.0|0.0|0.0|0.0|0.0|0.60317462682724|2.0|-3.0|0.6015625|1.0|0.0|0.2539682686328888|1.0|0.7559748291969299|0.296875|0.0|0.0|0.5|0.0|0.0|0.0
WhaChorus:0.0|0.0|0.328125|0.4841269850730896|0.0|0.37277066707611084|1.0|0.0|0.5079365372657776|0.0|1.0|0.9140625|0.0|0.602835476398468|1.0|0.17647013068199158|0.4761904776096344|0.5|1.0|-3.0|0.5|0.0|0.0|0.1984127163887024|0.8190034031867981|0.5873016119003296|0.0|0.0|0.617190420627594|0.5|9.0|0.0|0.0|0.0|0.0|0.0|0.5|4.0|-5.0|0.5|0.0|3.0|0.2380952537059784|1.0|0.7559748291969299|0.0|0.1587301641702652|1.0|0.6269841194152832|0.0|0.0|0.0
