@params:Cyc Env Hold|Cyc Env Rate|Cyc Env Ratio|Cyc Env Synced|Cyc Env Tilt|Cyc Env Time|Cyc Env Time Mode|Drift|Env 1 Attack|Env 1 Decay|Env 1 Release|Env 1 Sustain|Env 2 Attack|Env 2 Cyc On|Env 2 Decay|Env 2 Release|Env 2 Sustain|Glide Time|HP Freq|Key > LPF|LFO Amt|LFO Mod Amt|LFO Rate|LFO Ratio|LFO Retrig On|LFO Synced|LFO Time|LFO Time Mode|LFO Wave|LP Freq|LP Mod Amt 1|LP Mod Amt 2|LP Reso|LP Type|Legato On|Mod Matrix Amt 1|Mod Matrix Amt 2|Mod Matrix Amt 3|Noise Flt On|Noise Gain|Noise On|Note Pitch Bend On|Osc 1 Flt On|Osc 1 Gain|Osc 1 Oct|Osc 1 On|Osc 1 Shape|Osc 1 Shape Mod Amt|Osc 1 Wave|Osc 2 Detune|Osc 2 Flt On|Osc 2 Gain|Osc 2 Oct|Osc 2 On|Osc 2 Wave|Osc Retrig On|Pitch Mod Amt 1|Pitch Mod Amt 2|Poly Voice Depth|Spread|Strength|Thickness|Transpose|Vel > Vol|Volume
Big Floor Stab:0.0|0.0873015820980072|0.0476190485060215|15.0|0.6904761791229248|0.4047619104385376|0.0|0.328125|0.0|0.4682539701461792|0.5317460298538208|0.0|0.0|0.0|0.4523809552192688|0.4761904776096344|0.3730158805847168|0.0|0.0|0.296875|0.5396825671195984|0.4296875|0.30158731341362|0.0476190485060215|1.0|15.0|0.4761904776096344|0.0|0.0|0.6507936716079712|0.78125|0.328125|0.1190476194024086|0.0|0.0|0.7265625|0.609375|0.5546875|0.0|0.0|1.0|1.0|1.0|0.7698412537574768|0.0|1.0|0.0|0.1015625|4.0|0.4761904776096344|1.0|0.7857142686843872|-1.0|1.0|3.0|0.0|0.6015625|0.6484375|0.0|0.859375|1.0|0.0|0.0|0.5|0.4761904776096344
Bloom Pad:0.0|0.31225645542144775|0.0476190485060215|15.0|0.0634920671582222|0.4523809552192688|1.0|0.6328125|0.3046875|0.4444444477558136|0.7063491940498352|0.8809523582458496|0.2063492089509964|0.0|0.7857142686843872|0.6428571343421936|0.7539682388305664|0.0|0.285714328289032|0.296875|0.5079365372657776|0.6640625|0.1031745970249176|0.0476190485060215|1.0|15.0|0.4761904776096344|0.0|1.0|0.8095237612724304|0.359375|0.4609375|0.8095238208770752|1.0|0.0|0.6015625|0.0|1.0|1.0|0.3174603283405304|1.0|1.0|1.0|0.7380951642990112|-1.0|1.0|0.8253968358039856|0.0078125|3.0|0.4126984179019928|0.0|0.8253968358039856|0.0|1.0|0.0|0.0|0.5703125|0.5703125|0.0|0.859375|0.3515625|0.0|0.0|0.5|0.35481342673301697
Chirp Pluck:0.0|0.31225645542144775|0.0476190485060215|15.0|0.5|0.29616981744766235|0.0|0.3828125|0.11075662076473236|0.4098360538482666|0.7063491940498352|0.3658536672592163|0.0|0.0|0.230158731341362|0.3967844247817993|0.0|0.0|0.3253968358039856|0.34375|0.6904761791229248|0.5|0.34716013073921204|0.0476190485060215|1.0|15.0|0.29616981744766235|0.0|5.0|0.5079365372657776|0.9140625|0.6875|0.3611731231212616|0.0|0.0|1.0|0.0078125|0.7890625|1.0|0.5585393905639648|0.0|1.0|1.0|0.5478326082229614|0.0|1.0|0.5317460298538208|0.8203125|2.0|0.5|1.0|0.48991310596466064|2.0|1.0|3.0|0.0|0.7421875|0.6018521189689636|0.0|0.699999988079071|0.5|0.30000001192092896|0.0|0.5234375|0.5634920597076416
Church Bell:0.0|0.31225645542144775|0.0476190485060215|15.0|0.5|0.29616981744766235|0.0|0.6640625|0.11075662076473236|0.5816749334335327|0.7147435545921326|0.0|0.11075662076473236|0.0|0.7463099360466003|0.841269850730896|0.0|0.0|0.3259057104587555|1.0|1.0|1.0|1.0|0.07174602895975113|0.0|15.0|0.29616981744766235|2.0|0.0|0.32666781544685364|0.875|0.28125|0.6190476417541504|1.0|0.0|0.6028158068656921|0.5|0.5|0.0|0.7358816862106323|0.0|1.0|1.0|0.230158731341362|0.0|1.0|0.0|0.7109375|0.0|0.991934061050415|1.0|0.7358816862106323|-2.0|1.0|0.0|0.0|0.5|0.8828125|0.8899999856948853|0.8899999856948853|0.8899999856948853|0.8899999856948853|0.0|0.10000000149011612|0.25118857622146606
Climb The Ladder:0.0|0.055545624345541|0.0476190485060215|15.0|0.02380952425301075|0.9047619104385376|1.0|0.75|0.1428571492433548|0.7301587462425232|0.1746031790971756|0.0|0.1349206417798996|0.0|0.9682539701461792|0.4523809552192688|0.1666666716337204|0.0|0.1031745970249176|0.2890625|0.89682537317276|0.9453125|0.17010846734046936|0.1746031790971756|0.0|15.0|0.0|0.0|8.0|0.3333333432674408|0.6953125|0.96875|0.4682539701461792|1.0|0.0|0.8203125|0.3984375|0.8359375|1.0|0.2504684627056122|1.0|1.0|1.0|0.5368634462356567|-1.0|1.0|0.6111111044883728|0.625|2.0|0.5634920597076416|1.0|0.5990749597549438|0.0|1.0|4.0|0.0|0.3984375|0.5|0.9375|0.7421875|0.140625|0.1796875|0.0|0.3671875|0.4523809552192688
Clob Bass:0.0|0.31225645542144775|0.0476190485060215|15.0|0.5|0.29616981744766235|0.0|0.10000000149011612|0.190476194024086|0.2729099690914154|0.4365079402923584|0.380952388048172|0.0|0.0|0.35815566778182983|0.380952388048172|0.15079365670681|0.0|0.0|1.0|1.0|1.0|0.05739879235625267|0.1349206417798996|0.0|15.0|0.29616981744766235|2.0|0.0|0.5158730149269104|0.9012081623077393|0.7426211833953857|0.2142857015132904|1.0|0.0|0.90604168176651|0.5|0.5|1.0|0.6601531505584717|1.0|1.0|1.0|0.5478326082229614|0.0|1.0|0.920634925365448|0.9563491940498352|3.0|0.9469517469406128|1.0|0.5478326082229614|-1.0|1.0|4.0|0.0|0.5|0.9296875|0.9603174328804016|0.9603174328804016|0.9603174328804016|0.9603174328804016|7.0|0.0|0.562341570854187
Crunch Arcade:0.0|0.31225645542144775|0.0476190485060215|15.0|0.5|0.29616981744766235|0.0|0.07249999791383743|0.11075661331415176|0.3974480628967285|0.6349206566810608|0.699999988079071|0.230158731341362|0.0|0.6428571343421936|0.7698412537574768|0.095238097012043|0.5078125|0.2777777910232544|0.0|1.0|1.0|0.9329733848571777|0.7460317611694336|0.0|15.0|0.29616981744766235|2.0|3.0|0.6976997256278992|0.8671875|0.5|0.2936508059501648|1.0|0.0|0.8482967019081116|0.7734375|0.8671875|1.0|0.0|0.0|1.0|1.0|0.5061666965484619|3.0|1.0|0.0|0.5753968358039856|4.0|0.5|1.0|0.627436101436615|-3.0|1.0|2.0|0.0|0.5|1.0|0.5555555820465088|0.5555555820465088|0.5555555820465088|0.5555555820465088|-36.0|0.25|0.3548133969306946
Darkened Strings:0.5714285969734192|0.42905956506729126|0.0476190485060215|15.0|0.4365079402923584|0.0942005068063736|2.0|0.1875|0.6875|0.9126983880996704|0.6111111044883728|0.4047619104385376|0.0|1.0|0.2857142984867096|0.0|0.0|0.0|0.1587301641702652|0.5|1.0|0.5|0.04499194771051407|0.8333333134651184|1.0|15.0|0.5396825671195984|1.0|5.0|0.1349206566810608|0.9084634780883789|0.7712500095367432|0.345176100730896|1.0|0.0|0.84375|0.859375|0.78125|0.0|0.0|1.0|1.0|1.0|0.6455250978469849|0.0|1.0|0.78125|0.0546875|1.0|1.0|1.0|0.5478326082229614|1.0|1.0|4.0|0.0|0.578125|0.4296875|0.8333333134651184|0.7857142686843872|0.0|0.8333333134651184|0.0|0.2199999988079071|0.3492063581943512
Deep Bass:0.0|0.31225645542144775|0.0476190485060215|15.0|0.5|0.29616981744766235|0.0|0.5234375|0.2698156535625458|0.7147954702377319|0.3967844247817993|0.5699999928474426|0.0|0.0|0.41326457262039185|0.5952380895614624|0.0|0.0|0.1589510291814804|1.0|0.6666666865348816|1.0|1.0|0.230158731341362|0.0|15.0|0.29616981744766235|2.0|0.0|0.20635026693344116|0.5|0.8129192590713501|0.40594059228897095|1.0|0.0|0.5|0.5|0.5|1.0|0.7358816862106323|0.0|1.0|1.0|0.6772177219390869|0.0|1.0|0.7539682388305664|0.5|2.0|0.5|1.0|0.6514228582382202|-1.0|1.0|0.0|0.0|0.3515625|0.5|0.5400000214576721|0.5400000214576721|0.5400000214576721|0.5400000214576721|0.0|0.7265625|1.0
Delta Polylogue:0.0|0.14661747217178345|0.0476190485060215|15.0|0.3400000035762787|0.29616981744766235|0.0|0.078125|0.12592746317386627|0.007914125919342041|0.6349248886108398|0.5099999904632568|0.11075662076473236|1.0|0.3974480628967285|0.3967844247817993|0.699999988079071|0.0|0.0|0.0|1.0|0.9693405032157898|0.03979811444878578|0.0476190485060215|0.0|15.0|0.29616981744766235|0.0|6.0|0.6066089272499084|0.78125|0.5|0.18897637724876404|1.0|0.0|0.5|0.5|0.5|1.0|0.0|1.0|1.0|1.0|0.6039160490036011|0.0|1.0|0.0|0.5199999809265137|4.0|0.5|1.0|0.33309903740882874|-1.0|1.0|0.0|0.0|0.5|0.5628158450126648|0.5|0.0|0.5|0.5|0.0|0.1953125|1.0
